site,site_x,site_y,population node,pop_x,pop_y,size,Speciality,No,FU_Redn,Cost,Growth,Y1,Spec1,Prob1,Spec2,Prob2,Spec3,Prob3
site1,180188.418,37011.66209,name1,245016.531,148963.4466,69,Lung Asthma,1,0.58,100,1.25,5,Lung Asthma,0.53,Paeds General,0.48,Cancer Blood,0.48
site2,223881.483,137473.8645,name2,225430.6266,196013.7722,90,Lung COPD,2,0.25,100,1.25,5,Lung COPD,0.26,Lung Asthma,0.84,Bowel Disorders,0.88
site3,48834.2978,45009.37986,name3,14329.67334,19873.89379,20,Lung Emphasema,3,0.49,100,1.25,5,Lung Emphasema,0.96,Lung COPD,0.04,Gynaecology,0.81
site4,239309.9373,101252.8903,name4,111907.499,109198.4663,82,Lung Spirometry,4,1.00,100,1.25,5,Lung Spirometry,0.50,Lung Emphasema,0.19,Paeds General,0.43
site5,232851.5786,26973.25741,name5,214777.7253,95445.70862,99,Lung Peak flow/Review,5,0.84,100,1.25,5,Lung Peak flow/Review,0.94,Lung Spirometry,0.97,Lung Asthma,0.70
site6,246492.8932,87997.69483,name6,69170.25646,226932.392,6,Lung URTI,6,0.29,100,1.25,5,Lung URTI,0.48,Lung Peak flow/Review,0.24,Lung COPD,0.35
site7,78217.32109,224303.3616,name7,92354.81873,205838.2676,81,Lung LRTI,7,0.40,100,1.25,5,Lung LRTI,0.62,Lung URTI,0.58,Lung Emphasema,0.44
site8,102065.0493,137801.6724,name8,86988.42145,203525.3094,40,Lung Pleuracy,8,0.67,100,1.25,5,Lung Pleuracy,0.66,Lung LRTI,0.77,Lung Spirometry,0.92
site9,248808.08,189392.523,name9,25383.23372,117168.1104,13,Vaccination flu,9,0.66,100,1.25,5,Vaccination flu,0.45,Lung Pleuracy,0.89,Lung Peak flow/Review,0.50
site10,145902.5388,21493.59951,name10,51870.20351,123005.2865,66,Vaccination paeds,10,0.07,100,1.25,5,Vaccination paeds,0.14,Vaccination flu,0.13,Lung URTI,0.24
